12,1984
38,"A Game of Thrones (A Song of Ice and Fire, #1)"
109,"A Clash of Kings  (A Song of Ice and Fire, #2)"
134,"A Storm of Swords (A Song of Ice and Fire, #3)"
0,"The Hunger Games (The Hunger Games, #1)"
1,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
2,"Twilight (Twilight, #1)"
3,To Kill a Mockingbird
4,The Great Gatsby
5,The Fault in Our Stars
6,The Hobbit
7,The Catcher in the Rye
8,"Angels & Demons  (Robert Langdon, #1)"
9,Pride and Prejudice
10,The Kite Runner
11,"Divergent (Divergent, #1)"
14,The Diary of a Young Girl
15,"The Girl with the Dragon Tattoo (Millennium, #1)"
16,"Catching Fire (The Hunger Games, #2)"
17,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
18,"The Fellowship of the Ring (The Lord of the Rings, #1)"
19,"Mockingjay (The Hunger Games, #3)"
20,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
21,The Lovely Bones
22,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
